"Player","Team","Number","Position","Height","Weight","Birth_Date","Country","Experience","College","Rank_Totals","Age","Games","Games_Started","Minutes_Played","Field_Goals","Field_Goal_Attempts","Field_Goal_Percentage","3-Point_Field_Goals","3-Point_Field_Goal_Attempts","3-Point_Field_Goal_Percentage","2-Point_Field_Goals","2-point_Field_Goal_Attempts","2-Point_Field_Goal_Percentage","Effective_Field_Goal_Percentage","Free_Throws","Free_Throw_Attempts","Free_Throw_Percentage","Offensive_Rebounds","Defensive_Rebounds","Total_Rebounds","Assists","Steals","Blocks","Turnovers","Personal_Fouls","Points","Rank_Salary","Salary"
"Larry Sanders","MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1865547
"Michael Carter-Williams","MIL",5,"PG",2.01,86.18,1991-10-10,"US",2,"Syracuse University",5,24,54,37,1649,251,555,0.452,15,55,0.273,236,500,0.472,0.466,106,162,0.654,48,228,276,281,80,41,153,162,623,8,2399040
"Miles Plumlee","MIL",18,"C",1.86,112.94,1988-09-01,"US",3,"Duke University",10,27,61,14,870,140,233,0.601,0,0,NA,140,233,0.601,0.601,34,59,0.576,94,138,232,16,21,50,40,73,314,9,2109294
"O.J. Mayo","MIL",3,"SG",1.98,95.25,1987-11-05,"US",7,"University of Southern California",7,28,41,24,1090,119,321,0.371,52,162,0.321,67,159,0.421,0.452,31,40,0.775,13,92,105,118,48,8,72,126,321,3,8e+06
"Rashad Vaughn","MIL",20,"SG",2.01,91.63,1996-08-16,"US",0,"University of Nevada, Las Vegas",8,19,70,6,1001,81,266,0.305,43,147,0.293,38,119,0.319,0.385,12,15,0.8,11,77,88,39,29,16,28,73,217,12,1733040
"Tyler Ennis","MIL",11,"PG",1.92,88,1994-08-24,"CA",1,"Syracuse University",12,21,46,7,654,84,187,0.449,13,39,0.333,71,148,0.48,0.484,25,34,0.735,13,62,75,95,25,1,46,64,206,13,1662360
"Adreian Payne","MIN",33,"PF",1.86,107.5,1991-02-19,"US",1,"Michigan State University",12,24,52,2,486,53,145,0.366,9,32,0.281,44,113,0.389,0.397,17,26,0.654,20,91,111,29,16,11,36,77,132,11,1938840
"Andre Miller","MIN",24,"PG",1.92,90.72,1976-03-19,"US",16,"University of Utah",13,39,26,0,280,36,58,0.621,1,4,0.25,35,54,0.648,0.629,15,19,0.789,6,18,24,58,9,0,25,32,88,12,1499187
"Andrew Wiggins","MIN",22,"SF",2.07,90.26,1995-02-23,"CA",1,"University of Kansas",1,20,81,81,2845,594,1294,0.459,57,190,0.3,537,1104,0.486,0.481,430,565,0.761,106,186,292,164,78,46,182,165,1675,5,5758680
"Anthony Bennett","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3650000
"Damjan Rudez","MIN",10,"SF",1.86,103.42,1986-06-17,"HR",1,NA,14,29,33,0,277,25,62,0.403,17,50,0.34,8,12,0.667,0.54,8,8,1,5,15,20,11,3,1,13,33,75,16,1149500
"Gorgui Dieng","MIN",5,"C",1.86,109.32,1990-01-18,"SN",2,"University of Louisville",5,26,82,39,2220,308,579,0.532,6,20,0.3,302,559,0.54,0.537,205,248,0.827,157,428,585,143,94,96,140,219,827,14,1474440
"Greg Smith","MIN",4,"PF",1.86,113.4,1991-01-08,"US",4,"California State University, Fresno",15,25,18,0,192,18,32,0.563,0,0,NA,18,32,0.563,0.563,7,17,0.412,12,30,42,6,4,1,7,28,43,17,247623
"Karl-Anthony Towns","MIN",32,"C",2.13,110.68,1995-11-15,"US",0,"University of Kentucky",2,20,82,82,2627,625,1153,0.542,30,88,0.341,595,1065,0.559,0.555,223,275,0.811,228,629,857,161,58,138,183,245,1503,6,5703600
"Kevin Garnett","MIN",21,"PF",1.86,108.86,1976-05-19,"US",20,NA,11,39,38,38,556,54,115,0.47,0,1,0,54,114,0.474,0.47,14,21,0.667,15,135,150,62,28,10,16,70,122,3,8500000
"Kevin Martin","MIN",23,"SG",2.04,90.26,1983-02-01,"US",11,"Western Carolina University",9,32,39,12,834,126,334,0.377,38,103,0.369,88,231,0.381,0.434,125,142,0.88,10,71,81,46,17,1,41,68,415,4,7085000
"Nemanja Bjelica","MIN",88,"PF",1.86,108.86,1988-05-09,"RS",0,NA,8,27,60,0,1075,110,235,0.468,48,125,0.384,62,110,0.564,0.57,40,55,0.727,49,161,210,83,26,21,47,154,308,7,4e+06
"Nikola Pekovic","MIN",14,"C",1.86,139.25,1986-01-03,"ME",5,NA,16,30,12,3,156,19,50,0.38,0,0,NA,19,50,0.38,0.38,16,20,0.8,7,14,21,11,1,0,9,22,54,2,12100000
"Ricky Rubio","MIN",9,"PG",1.95,88,1990-10-21,"ES",4,NA,3,25,76,76,2323,219,586,0.374,62,190,0.326,157,396,0.396,0.427,266,314,0.847,40,286,326,658,162,10,193,201,766,1,12365000
"Shabazz Muhammad","MIN",15,"SF",2.01,101.15,1992-11-13,"US",2,"University of California, Los Angeles",6,23,82,0,1682,317,681,0.465,44,152,0.289,273,529,0.516,0.498,185,242,0.764,100,167,267,52,24,7,70,94,863,10,2056920
"Tayshaun Prince","MIN",12,"SF",2.1,96.16,1980-02-28,"US",13,"University of Kentucky",7,35,77,44,1462,102,229,0.445,4,23,0.174,98,206,0.476,0.454,13,19,0.684,32,115,147,73,36,13,27,62,221,13,1499187
"Tyus Jones","MIN",1,"PG",1.89,88.45,1996-05-10,"US",0,"Duke University",10,19,37,0,573,56,156,0.359,16,53,0.302,40,103,0.388,0.41,28,39,0.718,7,40,47,108,31,3,33,33,156,15,1282080
"Zach LaVine","MIN",8,"SG",1.98,85.73,1995-03-10,"US",1,"University of California, Los Angeles",4,20,82,33,2294,433,959,0.452,123,316,0.389,310,643,0.482,0.516,161,203,0.793,27,201,228,251,69,17,155,193,1150,9,2148360
