"salaries.Rk","salaries.Player","salaries.Salary"
"1","Eric Gordon","$15,514,031"
"2","Tyreke Evans","$11,227,000"
"3","Omer Asik","$11,000,000"
"4","Jrue Holiday","$10,595,507"
"5","Ryan Anderson","$8,500,000"
"6","Anthony Davis","$7,070,730"
"7","Alexis Ajinca","$4,300,000"
"8","Quincy Pondexter","$3,382,023"
"9","Norris Cole","$3,036,927"
"10","Dante Cunningham","$3,000,000"
"11","Kendrick Perkins","$1,499,200"
"12","Alonzo Gee","$1,375,000"
"13","Toney Douglas","$1,164,858"
"14","Luke Babbitt","$1,100,000"
"15","Jarnell Stokes","$845,059"
"16","Bryce Dejean-Jones","$281,659"
"17","Tim Frazier","$144,157"
"18","Jordan Hamilton","$119,462"
"19","James Ennis","$74,564"
"20","Orlando Johnson","$55,722"
"21","Jimmer Fredette","$54,812"
"22","Nate Robinson","$44,000"
