"salaries.Rk","salaries.Player","salaries.Salary"
"1","Eric Bledsoe","$13,086,957"
"2","Tyson Chandler","$13,000,000"
"3","Brandon Knight","$12,000,000"
"4","Mirza Teletovic","$5,500,000"
"5","P.J. Tucker","$5,500,000"
"6","Kris Humphries","$4,600,000"
"7","Alex Len","$3,807,120"
"8","Devin Booker","$2,127,840"
"9","T.J. Warren","$2,041,080"
"10","DeJuan Blair","$2,000,000"
"11","Ronnie Price","$1,499,187"
"12","Archie Goodwin","$1,160,160"
"13","Jon Leuer","$1,035,000"
"14","John Jenkins","$981,000"
"15","Cory Jefferson","$421,449"
"16","Chase Budinger","$258,082"
"17","Bryce Cotton","$228,663"
"18","Alan Williams","$114,285"
"19","Phil Pressey","$111,444"
"20","Lorenzo Brown","$111,444"
"21","Jordan McRae","$61,776"
"22","Orlando Johnson","$55,722"
